run,suite,variant,sharpe_total,sharpe_drift,sharpe_neutral,mean_drift,mean_neutral,net_exposure,corr_equal_weight,equal_weight_sharpe
ensemble__full_paper_costs-pca5_b20__ens,ensemble,full_paper_costs-pca5_b20,0.10112832622416547,0.22151335899241487,0.05432041028146012,0.0007517666632274276,0.0007242014528806177,0.922951422626957,0.4561450569985564,0.18270690810397344
ensemble__full_paper_costs-pca5_b3__ens,ensemble,full_paper_costs-pca5_b3,0.4739884875721541,0.21057908250516677,0.4644308064537984,0.0006902730128620607,0.006892930803204099,0.8777930180623583,0.41799965361483354,0.18270690810397344
ensemble__full_paper_costs-pca5_b5__ens,ensemble,full_paper_costs-pca5_b5,0.37204482633769503,0.22026408234966188,0.35236848235906715,0.0007273567236356167,0.005116397830828155,0.8866894278345133,0.4265820428750224,0.18270690810397344
ensemble__full_recipe-ff5_cw0.25_b10__ens,ensemble,full_recipe-ff5_cw0.25_b10,0.6165774387230027,0.3844257865956815,0.616577436477783,6.134427839378364e-11,0.016963978657695035,1.3205579368588792e-11,0.015612555278812387,0.8209217551034704
ensemble__full_recipe-ff5_cw0.25_b1__ens,ensemble,full_recipe-ff5_cw0.25_b1,1.9901538933819314,0.1348012282095634,1.9901538927191973,1.8094384288012628e-11,0.05450742078753175,1.2343550679852392e-11,0.0031690504286469327,0.8209217551034704
ensemble__full_recipe-ff5_cw0.25_b20__ens,ensemble,full_recipe-ff5_cw0.25_b20,0.2667646027629417,0.16063476397419846,0.2667646024539625,8.46561099583261e-12,0.00741230160744338,1.1322900854002898e-11,0.047068896571644245,0.8209217551034704
ensemble__full_recipe-ff5_cw0.25_b3__ens,ensemble,full_recipe-ff5_cw0.25_b3,1.5918375775594735,-0.007839198479915302,1.5918375776251699,-4.893617308150741e-13,0.043451284028641894,9.253863110261701e-12,0.002119023477528304,0.8209217551034704
ensemble__full_recipe-ff5_cw0.25_b5__ens,ensemble,full_recipe-ff5_cw0.25_b5,1.3339283859794955,-0.41552395188344365,1.3339283875757564,-3.9463953221537986e-11,0.03627863604196401,-5.026570114389787e-11,-0.0009945854034635476,0.8209217551034704
ensemble__full_recipe-ff5_cw0.5_b10__ens,ensemble,full_recipe-ff5_cw0.5_b10,0.4168482403858974,0.2671329332963328,0.4168482396083458,2.3570292416573782e-11,0.01273206538960503,-4.64912123862014e-12,-0.012522951092512339,0.8209217551034704
ensemble__full_recipe-ff5_cw0.5_b1__ens,ensemble,full_recipe-ff5_cw0.5_b1,1.3078814293179233,-0.2571940723282433,1.3078814299740325,-2.056909894400818e-11,0.03837597630212503,3.377485895666458e-11,-0.016109139150979637,0.8209217551034704
ensemble__full_recipe-ff5_cw0.5_b20__ens,ensemble,full_recipe-ff5_cw0.5_b20,0.16228906212505634,-0.29362395553089227,0.16228906344530078,-4.186649300187935e-11,0.0051192873779333506,-9.925746422695392e-12,0.004656249933267139,0.8209217551034704
ensemble__full_recipe-ff5_cw0.5_b3__ens,ensemble,full_recipe-ff5_cw0.5_b3,1.1290978112934325,0.36385513934821756,1.1290978096309627,5.0107295449400426e-11,0.033673916253836485,-2.5114274917040328e-11,-0.021505816967658804,0.8209217551034704
ensemble__full_recipe-ff5_cw0.5_b5__ens,ensemble,full_recipe-ff5_cw0.5_b5,0.9207608108093142,-0.1993043976583974,0.9207608113300374,-1.4443048059879106e-11,0.027495160569929393,-5.670432893205441e-12,-0.024434068385605193,0.8209217551034704
ensemble__full_recipe-pca5_cw0.25_b10__ens,ensemble,full_recipe-pca5_cw0.25_b10,1.450014277045048,-0.28159784072089894,1.4500142771041973,-1.488701785203271e-12,0.03466361798540474,-9.698746369084205e-13,0.06297897499150917,0.18270690810397344
ensemble__full_recipe-pca5_cw0.25_b1__ens,ensemble,full_recipe-pca5_cw0.25_b1,2.88027909563829,0.35568516534776795,2.8802790955607542,1.8113719249171782e-12,0.07123783912411141,-1.8045069164437288e-11,0.051288592895251686,0.18270690810397344
ensemble__full_recipe-pca5_cw0.25_b20__ens,ensemble,full_recipe-pca5_cw0.25_b20,1.0442397293458863,-0.12391070563003188,1.0442397293695533,-6.277779250819395e-13,0.024908845548683344,-5.672399411111492e-12,0.07609793735325573,0.18270690810397344
ensemble__full_recipe-pca5_cw0.25_b3__ens,ensemble,full_recipe-pca5_cw0.25_b3,2.328509214623901,-0.21358662536128514,2.328509214703448,-1.102966582115173e-12,0.05493570342983037,-1.8283187869851986e-11,0.06575403185542403,0.18270690810397344
ensemble__full_recipe-pca5_cw0.25_b5__ens,ensemble,full_recipe-pca5_cw0.25_b5,1.953272423726569,-0.27388705864146246,1.9532724237890338,-1.460953447613689e-12,0.04625727061734976,1.4101245469946457e-12,0.07209527128633286,0.18270690810397344
ensemble__full_recipe-pca5_cw0.5_b10__ens,ensemble,full_recipe-pca5_cw0.5_b10,1.1655150817206796,-0.4872595939508399,1.1655150818183455,-2.5066215732037504e-12,0.029258957040578158,-1.52078910821538e-11,0.0437520848006836,0.18270690810397344
ensemble__full_recipe-pca5_cw0.5_b1__ens,ensemble,full_recipe-pca5_cw0.5_b1,2.526153368976791,-0.21544730499419218,2.526153369024507,-1.0944705997773915e-12,0.06573829661427648,-8.16409186015914e-12,0.04265103653369711,0.18270690810397344
ensemble__full_recipe-pca5_cw0.5_b20__ens,ensemble,full_recipe-pca5_cw0.5_b20,0.7208416971852935,-0.06867342848131067,0.7208416971994785,-3.4113756780065506e-13,0.018359974672784853,2.2196240270066062e-11,0.04189011332287893,0.18270690810397344
ensemble__full_recipe-pca5_cw0.5_b3__ens,ensemble,full_recipe-pca5_cw0.5_b3,1.9563950409815454,-0.3555227579393825,1.9563950410394544,-1.866214166170796e-12,0.04820396052777265,-1.2918978736341307e-11,0.05184930430138929,0.18270690810397344
ensemble__full_recipe-pca5_cw0.5_b5__ens,ensemble,full_recipe-pca5_cw0.5_b5,1.6305603692380004,0.27374827236211496,1.630560369183333,1.4501469777831266e-12,0.04007108752292708,8.534094601307513e-12,0.052122360868148275,0.18270690810397344
