run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
final__cnn_neutral_cw1__s2,final,cnn_neutral_cw1,cnn_transformer,5,True,sharpe_costs,1,8.356055399575755e-11,-0.34124227198823226,-1.491584407344901,-0.01383847370334231,-0.06060220606087093,0.2701422953484931,731,-0.0027242213999003648,-1.0118402872404553,-0.0001245974705334125,-0.046235389322545714,0.26618675108810985,752,False
lookback__l10__s0,lookback,l10,cnn_transformer,5,False,sharpe,1,0.8122547254413193,0.5266242946136921,-2.844601777811597,0.017377549865433883,-0.09419751444191464,0.8653191907168034,751,-0.1500826661195935,-3.4022133161935093,-0.004523922036727723,-0.10315352528944051,0.7655422290675803,752,False
lookback__l10__s1,lookback,l10,cnn_transformer,5,False,sharpe,1,0.7180399541683026,0.2973740277049547,-3.0767334863111966,0.010228496656375765,-0.10617112909447975,0.8894621708862979,751,0.10300037901923052,-3.3855600752743062,0.003059891527479531,-0.10148582756595782,0.808067565626498,752,False
lookback__l10__s2,lookback,l10,cnn_transformer,5,False,sharpe,1,0.7330142158978791,0.0006978388245435968,-3.3439066677866154,2.4122179152953158e-05,-0.11598058141734226,0.8951348131576351,751,-0.1662018713803534,-3.106053329200999,-0.00547809395504987,-0.10280299035619515,0.7448889207623283,752,False
lookback__l20__s0,lookback,l20,cnn_transformer,5,False,sharpe,1,0.7919543846485323,-0.04952422095112359,-3.454821563669463,-0.0013612788871623898,-0.09510292539298451,0.7274329354961373,741,-0.49543894114667375,-3.6796832615448865,-0.01540545489819493,-0.11504670105521406,0.7659511052268355,752,False
lookback__l20__s1,lookback,l20,cnn_transformer,5,False,sharpe,1,0.7058914807990514,0.5126782534500302,-2.380753125279079,0.0162311044533245,-0.07606764930753923,0.6996571745060267,741,0.02109091024203523,-3.083568672484934,0.0006508326826437379,-0.09598448955670763,0.740966104440245,752,False
lookback__l20__s2,lookback,l20,cnn_transformer,5,False,sharpe,1,0.7215170176100799,-0.04172723451969276,-3.175588469345426,-0.0013133888524046768,-0.10098996119376266,0.756047932992461,741,-0.519488581360624,-3.4153251903855226,-0.017962060211363682,-0.11871484165274548,0.7791816697041694,752,False
lookback__l30__s0,lookback,l30,cnn_transformer,5,False,sharpe,1,0.8738251866547478,0.8767318309718467,-2.4353128637353576,0.02291859179620906,-0.06375702784316356,0.6760042270134258,731,0.4070451743420547,-2.2735455773627895,0.011655990830508278,-0.06502085483686539,0.5948801544002211,752,True
lookback__l30__s1,lookback,l30,cnn_transformer,5,False,sharpe,1,0.6994543399479851,0.4514147791260432,-2.6197720364975394,0.015524399287475905,-0.09073633697171345,0.8016668645850674,731,0.1702387345485796,-2.580911112620142,0.005473474252507397,-0.08330336789575,0.6855324122688665,752,True
lookback__l30__s2,lookback,l30,cnn_transformer,5,False,sharpe,1,0.7054644477477393,0.44327960589115917,-2.637744534695687,0.015524725827156567,-0.09311492731913253,0.8249933419528557,731,0.602569558433183,-2.2452214328024698,0.019046599986091105,-0.07084294301309113,0.691924286504815,752,True
lookback__l60__s0,lookback,l60,cnn_transformer,5,False,sharpe,1,0.8617455939995202,-0.373148455630363,-3.0947697838346238,-0.012057998387834307,-0.10012218047075563,0.6793126217934231,701,0.5357225543582345,-1.8352181186378862,0.014482893877522194,-0.04978562201396388,0.5010386368647526,752,False
lookback__l60__s1,lookback,l60,cnn_transformer,5,False,sharpe,1,0.807772696903013,0.34607160461102876,-2.2192856850591776,0.009914260064432521,-0.06375136913863802,0.5635318713124603,701,0.3795816868835527,-2.105745681817117,0.011721643382416203,-0.06530183730174392,0.5935873019121345,752,False
lookback__l60__s2,lookback,l60,cnn_transformer,5,False,sharpe,1,0.8396622130702563,0.41875248905403245,-2.5902359755866198,0.012100644360629024,-0.07520508930107624,0.6684037701397778,701,0.7294517889105853,-1.235319163263937,0.018963985174473674,-0.032085969398507226,0.3969522025000576,752,False
models__cnn_transformer__s0,models,cnn_transformer,cnn_transformer,5,False,sharpe,1,0.8738251866547478,0.8767318309718467,-2.4353128637353576,0.02291859179620906,-0.06375702784316356,0.6760042270134258,731,0.4070451743420547,-2.2735455773627895,0.011655990830508278,-0.06502085483686539,0.5948801544002211,752,True
models__cnn_transformer__s1,models,cnn_transformer,cnn_transformer,5,False,sharpe,1,0.6994543399479851,0.4514147791260432,-2.6197720364975394,0.015524399287475905,-0.09073633697171345,0.8016668645850674,731,0.1702387345485796,-2.580911112620142,0.005473474252507397,-0.08330336789575,0.6855324122688665,752,True
models__cnn_transformer__s2,models,cnn_transformer,cnn_transformer,5,False,sharpe,1,0.7054644477477393,0.44327960589115917,-2.637744534695687,0.015524725827156567,-0.09311492731913253,0.8249933419528557,731,0.602569558433183,-2.2452214328024698,0.019046599986091105,-0.07084294301309113,0.691924286504815,752,True
models__fourier_ffn__s0,models,fourier_ffn,fourier_ffn,5,False,sharpe,1,0.44603595109528843,-0.362145120363919,-1.725980127729812,-0.009528918081296888,-0.045594740144517816,0.20868709697790158,731,-0.09713387796845713,-1.4117532703106206,-0.0017993731100260178,-0.026264382910242082,0.15936827779957,752,True
models__fourier_ffn__s1,models,fourier_ffn,fourier_ffn,5,False,sharpe,1,0.8296958499244154,1.0195429322223393,-0.8502095560961513,0.016499155987980147,-0.013816842647172749,0.20502234012884613,731,-0.04787986501978443,-0.6727426388177496,-0.0007235524578286238,-0.010162678828392566,0.07456695662549266,752,True
models__fourier_ffn__s2,models,fourier_ffn,fourier_ffn,5,False,sharpe,1,0.26046970757385407,-0.146687050742382,-1.6361135305259658,-0.003706151766027857,-0.041578519803097846,0.21987955414788926,731,-0.691418646498166,-1.9712334910159033,-0.01743995248115442,-0.049943613885103384,0.18930291549420475,752,True
models__ou_ffn__s0,models,ou_ffn,ou_ffn,5,False,sharpe,1,0.4142861910645065,0.029752719828245938,-0.9814219636913862,0.0005022752517373499,-0.01660632964795129,0.07147244089869109,731,-0.27415617380953755,-1.178401547783776,-0.008936759563251389,-0.03856795888530634,0.18100825741535947,752,False
models__ou_ffn__s1,models,ou_ffn,ou_ffn,5,False,sharpe,1,0.5618190201631306,0.7252085631428637,-0.327864018321659,0.02257126376324797,-0.010219727054429792,0.22276747254693263,731,0.32584792175168065,-0.6181214042890977,0.009054456561978955,-0.01721770363995958,0.15710413255973119,752,False
models__ou_ffn__s2,models,ou_ffn,ou_ffn,5,False,sharpe,1,0.07809495828145174,0.2847473234197992,-0.9840305700961604,0.009705176298170535,-0.03355888756509059,0.2537114359546151,731,1.3816254778319663,0.28964952668385474,0.04920244133165373,0.010313537987845714,0.2122041346198652,752,False
models__ou_threshold__s0,models,ou_threshold,ou_threshold,5,False,sharpe,1,0.00422892631587352,-0.34196120486977405,-2.0391038451022476,-0.02975762046104117,-0.17753223302597307,1.0739503825568173,731,-0.17911804765966371,-1.8612510425377458,-0.015268689993726178,-0.15907299994150353,1.0414941353839977,752,True
models__raw_ffn__s0,models,raw_ffn,raw_ffn,5,False,sharpe,1,0.18148743041519436,-0.29594313500987374,-1.4673526253398013,-0.0045479535381922585,-0.022722019346721016,0.04582604857924168,731,-0.4563385931888791,-1.2874745627974609,-0.006619513245085267,-0.01885233818455499,0.030095433075968063,752,False
models__raw_ffn__s1,models,raw_ffn,raw_ffn,5,False,sharpe,1,0.830872718833902,0.2751458447613293,-0.5324078342018387,0.0029133360587443318,-0.005695571450121166,0.032690194048521054,731,0.2838911424822778,0.1539897084281113,0.00397196917508997,0.002154200067324824,0.014396537164289373,752,False
models__raw_ffn__s2,models,raw_ffn,raw_ffn,5,False,sharpe,1,0.15587033541201195,0.0229125098479211,-0.7527493223011065,0.0006502400394151668,-0.021448846616719884,0.07182216518546597,731,-0.6336250752098233,-1.2995299576007238,-0.0120949509339099,-0.02489098919700683,0.034554364722596875,752,False
models__reversal__s0,models,reversal,reversal,5,False,sharpe,1,-0.012326727350357478,0.060523095688040235,-0.6796384051266592,0.0036251484276132047,-0.04070536032973024,0.24965122619059724,731,0.018819064850092087,-0.601478643715886,0.0013039653272922857,-0.04166957458901864,0.23978080354483425,752,False
neutral__cnn_transformer_neutral__s0,neutral,cnn_transformer_neutral,cnn_transformer,5,True,sharpe,1,6.114350275806684e-09,0.5321869295678205,-3.0966184963022876,0.024046402529808473,-0.13983738513742625,1.2009398659548536,731,0.07562001796864153,-3.1008270547721155,0.00336675704294781,-0.13795202758833547,1.0212943567254789,752,True
neutral__cnn_transformer_neutral__s1,neutral,cnn_transformer_neutral,cnn_transformer,5,True,sharpe,1,5.301665967705534e-09,0.6432766934459607,-2.701749068405458,0.029369008123957728,-0.12340171753584546,1.1126201404741078,731,0.13294081533361177,-3.206117072708043,0.005933465436098426,-0.14357171312529401,1.0869749758901703,752,True
neutral__cnn_transformer_neutral__s2,neutral,cnn_transformer_neutral,cnn_transformer,5,True,sharpe,1,-2.338041111581231e-09,0.7607407372071086,-2.4580003486184947,0.03480181881152466,-0.11265185584619451,1.07036351551273,731,0.4564824775933756,-2.904516064145054,0.020923721764588222,-0.13291731465209947,1.1219404905238115,752,True
neutral__cnn_transformer_neutral_costs__s0,neutral,cnn_transformer_neutral_costs,cnn_transformer,5,True,sharpe_costs,1,1.0009996314272416e-09,-0.12469744147896576,-1.172801044350652,-0.005093002885833906,-0.0478707085438377,0.23846382770150068,731,0.046517970807260445,-0.9525392563087648,0.0020118934358109223,-0.04126898214824263,0.2436421692207795,752,True
neutral__cnn_transformer_neutral_costs__s1,neutral,cnn_transformer_neutral_costs,cnn_transformer,5,True,sharpe_costs,1,5.9183220278533e-10,0.5054517614825058,-0.4910949109539211,0.021737805825966156,-0.021143421282386773,0.23928655157004844,731,-0.32640340071071655,-1.3660221429319583,-0.01504161059411727,-0.06295282148252172,0.28044585768060953,752,True
neutral__cnn_transformer_neutral_costs__s2,neutral,cnn_transformer_neutral_costs,cnn_transformer,5,True,sharpe_costs,1,8.356055399575755e-11,-0.34124227198823226,-1.491584407344901,-0.01383847370334231,-0.06060220606087093,0.2701422953484931,731,-0.0027242213999003648,-1.0118402872404553,-0.0001245974705334125,-0.046235389322545714,0.26618675108810985,752,True
neutral__fourier_ffn_neutral__s0,neutral,fourier_ffn_neutral,fourier_ffn,5,True,sharpe,1,-7.909189658940978e-08,-0.17822162067053807,-2.1461732929945128,-0.008233231184320037,-0.09924606490541857,0.6218067112329687,731,0.16840441614869292,-2.1477593189913287,0.006653348232122052,-0.08506234605667148,0.6423087923735478,752,False
neutral__fourier_ffn_neutral__s1,neutral,fourier_ffn_neutral,fourier_ffn,5,True,sharpe,1,-3.9641020005155146e-08,0.862372164013195,-1.4225568139569118,0.03797376902686212,-0.0627170022654682,0.6987209553932798,731,-0.729832146589571,-2.8069002443597655,-0.033083593298679694,-0.1273550265999899,0.6480844270545918,752,False
neutral__fourier_ffn_neutral__s2,neutral,fourier_ffn_neutral,fourier_ffn,5,True,sharpe,1,-0.08091067783991378,0.15472473877978113,-1.5795083259760743,0.008968077825638176,-0.09168124050622527,0.6989407714488914,731,0.5242968316538598,-1.5736719558939984,0.022612311603512875,-0.06800456506668831,0.6020880555839735,752,False
neutral__ou_ffn_neutral__s0,neutral,ou_ffn_neutral,ou_ffn,5,True,sharpe,1,3.6970191071849316e-08,0.1446713695400587,-1.0034123709597806,0.008168534281204929,-0.05651873642231204,0.4125874717618469,731,0.1169055147195633,-1.3942061798276084,0.005481152156084395,-0.06537261048229442,0.46222395091982643,752,False
neutral__ou_ffn_neutral__s1,neutral,ou_ffn_neutral,ou_ffn,5,True,sharpe,1,8.248865760796927e-08,0.1673401017631216,-1.0589977117058686,0.009757875770584986,-0.06186741019979728,0.4677265233341172,731,0.11249391249810785,-1.3570723617065907,0.005628942559422668,-0.0680260608002298,0.48428925263529654,752,False
neutral__ou_ffn_neutral__s2,neutral,ou_ffn_neutral,ou_ffn,5,True,sharpe,1,1.0558783972280467e-08,-0.7624586199984059,-2.229687562661964,-0.03925485498986621,-0.11492376651866487,0.49986273633477973,731,0.6754473706968973,-0.5082933819788598,0.04139357424675094,-0.031167400547325873,0.4755156315893519,752,False
