run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__full_recipe-pca5_cw0.5_b1__ens,2769,2.2163118157909243,1.9985497727695942,0.7743299572837437,0.9999999999999911,-1.8191007168391298,2.6190882348118674,5.1625480573373465e-43,9.840654829032476e-09
full_paper__ff5__s1,2769,2.104350081153007,1.9985497727695942,0.640997870963489,0.9999999999996584,-3.6334127275713266,2.6190882348118674,2.7969748678362904e-77,1.8894344535212197e-27
ensemble__full_recipe-pca8_cw0.25_b3__ens,2769,2.0963265765293806,1.9985497727695942,0.6276921127841426,0.9999999999985655,-0.9783825825328295,2.6190882348118674,1.4681600220956435e-32,0.0006506736703347024
full_recipe__pca8_cw0.5__s2,2769,2.062221040395626,1.9985497727695942,0.584292850244347,0.9999999999973094,-1.655967612904746,2.6190882348118674,2.591776289870041e-44,3.526797925415642e-08
ensemble__full_paper-pca5_b3__ens,2769,2.0113697854259964,1.9985497727695942,0.5173669119177817,0.9999999999958156,-1.929261642605918,2.6190882348118674,8.635866571581783e-47,6.293876161450617e-10
ensemble__full_paper-ff5_b1__ens,2769,1.9915671232966141,1.9985497727695942,0.4904958682331821,0.9999999999946012,-3.190663171293021,2.6190882348118674,1.2273826023158173e-65,3.457343344489889e-21
ensemble__full_recipe-pca5_cw0.25_b3__ens,2769,1.9633302844198304,1.9985497727695942,0.4523670513179041,0.9999999999873664,-1.18271044183452,2.6190882348118674,9.75928431787249e-35,7.030448530844745e-05
full_recipe__pca5_cw0.5__s0,2769,1.8584944692324499,1.9985497727695942,0.3175546644776348,0.9999999998483824,-1.9815169583748808,2.6190882348118674,1.912386991365217e-47,2.629350724614875e-10
full_recipe__pca8_cw0.5__s1,2769,1.801875908248132,1.9985497727695942,0.2553884737498737,0.9999999991545773,-1.581020312225188,2.6190882348118674,6.3166303003123344e-43,1.2953288390906334e-07
ensemble__full_recipe-ff5_cw0.25_b1__ens,2769,1.7884300934990247,1.9985497727695942,0.23753088061153205,0.9999999993971206,-2.5156357674816516,2.6190882348118674,1.4931478427849368e-55,8.555172642053547e-15
ensemble__full_recipe-pca8_cw0.25_b5__ens,2769,1.7768370734594494,1.9985497727695942,0.22875150450984805,0.9999999986934665,-0.5601961432988899,2.6190882348118674,5.701616866296043e-26,0.0324827423917657
full_recipe__ff5_cw0.25__s1,2769,1.734473274275363,1.9985497727695942,0.18382977549857582,0.9999999983601919,-2.5106129508630493,2.6190882348118674,5.540479591683805e-56,7.149674445243019e-15
ensemble__full_recipe-pca5_cw0.25_b5__ens,2769,1.7144887469770211,1.9985497727695942,0.1690337178409269,0.9999999963109271,-0.7338807266746374,2.6190882348118674,2.7255481836041173e-28,0.008184048608158816
full_recipe__pca8_cw0.5__s0,2769,1.7053488654529474,1.9985497727695942,0.1631421378650052,0.9999999943327229,-2.2888562701628827,2.6190882348118674,8.963393556131659e-57,7.643499956893697e-14
ensemble__full_paper-pca5_b5__ens,2769,1.7028806943593853,1.9985497727695942,0.15840868654677137,0.9999999959240269,-1.3392430225195602,2.6190882348118674,2.027215110889306e-37,8.280254440503643e-06
ensemble__full_recipe-pca8_cw0.5_b3__ens,2769,1.6583381451901373,1.9985497727695942,0.12788844433947177,0.9999999848285814,-1.154456780537109,2.6190882348118674,2.072347136430188e-35,7.770506595044248e-05
