suite,variant,sharpe_mean,sharpe_std,sharpe_count,mean_return_mean,mean_return_std,mean_return_count,volatility_mean,volatility_std,volatility_count,turnover_mean,turnover_std,turnover_count,net_sharpe_mean,net_sharpe_std,net_sharpe_count
factors,fourier_ffn_k5,-0.057920506421083394,0.487634009061794,3,-0.0028379494996708665,0.009525423964789163,3,0.02120248059567507,0.004967367841026442,3,0.17568534891054174,0.03346231686617663,3,-1.3794840924297551,0.546819545103095,3
factors,fourier_ffn_k8,0.058530018429407284,0.2615201091503666,3,0.0010828972684079,0.005590441715058876,3,0.022884313851779598,0.0034330843948651582,3,0.2518577650638353,0.05268112762854537,3,-1.8166086931744172,0.3935763362325977,3
factors,ou_threshold_k0,-0.3526325902995731,,1,-0.0540380247700886,,1,0.1532417202964183,,1,1.0702736495155716,,1,-1.3061553074748005,,1
factors,ou_threshold_k1,-0.3456084726953985,,1,-0.0358083414655174,,1,0.1036095590662127,,1,1.0505497909820916,,1,-1.7415840998535743,,1
factors,ou_threshold_k10,-0.1271156030197184,,1,-0.0098853587738215,,1,0.0777666827595361,,1,1.0588524517843276,,1,-2.001187578948955,,1
factors,ou_threshold_k15,-0.3442730862210189,,1,-0.0264303703279724,,1,0.0767715264010049,,1,1.0486501441883895,,1,-2.222365598309106,,1
factors,ou_threshold_k3,-0.1809637680541188,,1,-0.0155487882582901,,1,0.0859221070907416,,1,1.045626735191556,,1,-1.861524999517106,,1
factors,ou_threshold_k5,-0.2602088986919144,,1,-0.0224105700824699,,1,0.0861253023825443,,1,1.0572976421931817,,1,-1.9496139759596616,,1
factors,ou_threshold_k8,-0.0165031993338647,,1,-0.0012414782676837,,1,0.075226520783529,,1,1.0440233466535926,,1,-1.9267398945933052,,1
final,cnn_neutral_cw0,0.4319686385362335,0.15682643146030603,3,0.01960332677238533,0.007335214627894412,3,0.04526489902722223,0.0004814595883303407,3,1.1017853845484316,0.007247862304955499,3,-2.912404939096433,0.2105200918814776,3
final,cnn_neutral_cw0.25,0.42904560081436083,0.05386078090755411,3,0.01955013268424233,0.002435240101166272,3,0.04557419722717113,0.000902200181849957,3,0.8555628954895185,0.013054718401652707,3,-2.2106879534001,0.03613123771626707,3
final,cnn_neutral_cw0.5,0.24305175601905268,0.11428483240341386,3,0.0107214029584193,0.004976725566264068,3,0.044341151933984364,0.0018371408892774031,3,0.5235307859361537,0.04615019602002083,3,-1.533175622080628,0.2025061162815338,3
final,cnn_neutral_cw0.5_k10,-0.037217908074770524,0.10697603939694493,3,-0.0014171251068215002,0.00411098430531753,3,0.03857184903028397,0.0002795176316988577,3,0.387900289451884,0.021558039636301783,3,-1.6306583234617982,0.13058543408353654,3
final,cnn_neutral_cw0.5_k6,0.2956012346462102,0.16581924417731922,3,0.0127107489281947,0.00743020487096201,3,0.0426689607823894,0.0009719993078601267,3,0.442472317849019,0.03058775494644475,3,-1.305971323571529,0.1732884376029172,3
final,cnn_neutral_cw0.5_k7,0.42340676412327793,0.2252519551103413,3,0.017215477587516067,0.009357504086562177,3,0.04050411342420306,0.0006079386792186463,3,0.4219023910951611,0.035590511803472134,3,-1.2011597468968838,0.22444685977366122,3
final,cnn_neutral_cw0.5_k8,0.6670110470654488,0.24406209392312891,3,0.026544586583184798,0.010088105971789534,3,0.03964906945458533,0.0007154486454556782,3,0.4377161134223302,0.0397108354201807,3,-1.0410018345812593,0.17483919752410174,3
final,cnn_neutral_cw1,-0.04177686229126929,0.11430945409649011,3,-0.0017623326430195336,0.0049916287883762815,3,0.04331698362085423,0.0012643817110636986,3,0.2563697932838289,0.013875649382313827,3,-1.079359956549271,0.14298414249489644,3
full_bench,ff5_fourier_ffn,0.9436931453326166,,1,0.0335171297288804,,1,0.0355169791098428,,1,0.6074112537968265,,1,-1.483390566535035,,1
full_bench,ff5_fourier_ffn_neutral,0.365097430425449,,1,0.0160421515159205,,1,0.0439393711898397,,1,0.7525321671210161,,1,-2.083323368589714,,1
full_bench,ff5_ou_threshold,0.1493058678449186,,1,0.0065458740627741,,1,0.0438420415570889,,1,0.9731312434286468,,1,-2.9379222322720566,,1
full_bench,ff5_reversal,0.6797292779151383,,1,0.0384120845463988,,1,0.0565108577700466,,1,0.250404685857176,,1,-0.1061710252800305,,1
full_bench,pca5_fourier_ffn,1.3190002832919985,,1,0.0263362844019054,,1,0.0199668527258952,,1,0.482714189094533,,1,-2.4405269771167215,,1
full_bench,pca5_fourier_ffn_neutral,0.9662598133808928,,1,0.0263738549246556,,1,0.0272947861014471,,1,0.7225437797599158,,1,-2.822994699947192,,1
full_bench,pca5_ou_threshold,0.6159794883579494,,1,0.0227561441642025,,1,0.0369430226075626,,1,0.9724189544689248,,1,-3.04342688875407,,1
full_bench,pca5_reversal,0.8286975293092579,,1,0.0378422093953286,,1,0.045664682295929,,1,0.2502317313840491,,1,-0.1406424238517176,,1
