run_name,model,lookback,seed,annualized_sharpe,annualized_return,annualized_volatility,max_drawdown,sortino_ratio,calmar_ratio,daily_turnover,net_sharpe_5bps,net_sharpe_10bps,breakeven_cost_bps,win_rate,cvar_95,hac_t_stat
factors__cnn_transformer_k10__s1,cnn_transformer,30,1,0.10767438272977777,0.002977922038378417,0.027656736568918924,-0.06416914182595845,0.14838183854577813,0.046407384509757295,0.3401054575502245,-2.991265909414993,-6.090206201559764,0.17372774655050957,0.5185434929197572,0.004380015317221473,0.2832651014068714
ensemble__final-cnn_neutral_cw0.5_k10_b1__ens,cnn_transformer,30,-1,0.1051004956490577,0.004123826286335837,0.0392369822888919,-0.09236533016092496,0.14763813636655568,0.04464690679014738,0.2729749943121343,-1.6480847534146144,-3.4012700024782867,0.2997415581302345,0.5151719487525287,0.00554986318672889,0.24229217168747882
factors__cnn_transformer_k3__s2,cnn_transformer,30,2,0.09039174572592149,0.002597508595982161,0.02873612601595411,-0.09504380523120282,0.12204217046885063,0.027329593861099375,0.2813124463549529,-2.3765634883265063,-4.843518722378935,0.18320507903468602,0.5219150370869858,0.004429877870507499,0.22008818050832585
final__cnn_neutral_cw1__s1,cnn_transformer,30,1,0.06919475778373245,0.0030876904194235156,0.04462318415903792,-0.10439606617333219,0.09795198507022242,0.029576693189731777,0.13003557937862184,-0.6651536895754577,-1.3995021369346479,0.4711302790423643,0.49291975724882,0.006321681677863016,0.18119692390906703
neutral__cnn_transformer_neutral_costs__s1,cnn_transformer,30,1,0.06919475778373245,0.0030876904194235156,0.04462318415903792,-0.10439606617333219,0.09795198507022242,0.029576693189731777,0.13003557937862184,-0.6651536895754577,-1.3995021369346479,0.4711302790423643,0.49291975724882,0.006321681677863016,0.18119692390906703
architecture__d8_h4_drop50__s1,cnn_transformer,30,1,0.06538737587474959,0.0020632039936517793,0.031553552441129847,-0.06987533537795698,0.09312837026087359,0.029526927956651832,0.3220579004991304,-2.5067030750245656,-5.078793525923881,0.12710940210498292,0.50708024275118,0.004653667931694465,0.1738239945697698
ensemble__final-cnn_neutral_cw1_b3__ens,cnn_transformer,30,-1,0.06213446180080198,0.0027552832851591193,0.04434388269093458,-0.06749917593708843,0.08641803717506895,0.04081950997042035,0.12339785903328278,-0.6391180805875174,-1.3403706229758368,0.4430248594121672,0.5144976399190829,0.006511414435115975,0.15323071050622758
lookback__l60__s0,cnn_transformer,60,0,0.05646639077223734,0.0016782376641602485,0.02972100113374667,-0.06649733860644313,0.07805934655052298,0.025237666639453808,0.29353541250870746,-2.4323772258784846,-4.921220842529206,0.11343900917371637,0.5113558155540262,0.004437658206108177,0.14324272511080044
final__cnn_neutral_cw0.5_k10__s1,cnn_transformer,30,1,0.05185451565648878,0.0020163758899274455,0.038885251639123694,-0.10058834272866657,0.07208423896835897,0.02004582077037101,0.18659347466484902,-1.1573842994070624,-2.3666231144706136,0.21440973863282572,0.50236008091706,0.005589342825478717,0.12320287297943834
factors__cnn_transformer_k3__s1,cnn_transformer,30,1,0.0506593021112103,0.0014550235954524323,0.028721745756747272,-0.08694827760203694,0.0718969516933264,0.016734357891620557,0.27391984998340024,-2.352669617392262,-4.755998536895734,0.10539402596977135,0.5077545515846258,0.004252527850481389,0.12675140565539916
